"date","USDPHP","BDO","ICT","SM","AAPL_PHP","MSFT_PHP","BTC_PHP","SPY_PHP"
2020-04-06,50.4907,102.5,74,850,3196.39454862,7909.45903826,367157.32303484,12261.39889429
2020-04-07,50.635,101.5,75,878,3168.3990455,7846.632521,363377.753271,12308.9786105
2020-04-08,50.635,98.5,73.75,870,3249.4960615,7925.3446285,371362.082611,12722.1703375
2020-04-13,50.635,98.5,74.8,870,3337.1857545,7943.5833555,346598.478876,12797.8392815
2020-04-14,50.454,102.5,80.9,868,3493.1927808,8306.8575588,345227.8471758,13128.1913448
2020-04-15,50.813,108.5,84.5,862,3485.9344016,8278.3066023,337505.5303487,12940.6635799
2020-04-16,50.893,103,75.2,820,3519.1644319,8540.252544,362195.5161506,13023.5746823
2020-04-20,50.91,102.5,80.45,845,3400.497813,8447.557392,350360.507235,13144.152531
2020-04-21,50.793,100.6,77,839,3287.8105728,8079.5815584,349472.2562976,12715.7583471
2020-04-22,50.5337,100.5,81.05,818,3365.24627117,8311.35849292,359658.82864275,12931.62941707
2020-04-23,50.61,100,82.2,845,3357.26496,8223.16341,376018.362006,12950.223447
2020-04-27,50.4739,97,82,780,3447.33203827,8326.8811786,393474.39036129,13284.23583578
2020-04-28,50.593,98.9,88,819,3399.4549746,8143.196315,394982.5157498,13254.3490807
2020-04-29,50.385,98.7,86.2,831,3496.678692,8473.6334145,443440.3046685,13545.4177455
2020-04-30,50.463,101,89.6,845,3575.9696616,8571.8874024,436936.5953631,13440.0681513
2020-05-04,50.4998,98.9,88.3,822,3570.78530822,8560.43319716,450087.25961914,13129.91770012
2020-05-05,50.673,98.3,86,830,3636.8062773,8682.007782,456212.5813119,13296.6864114
2020-05-06,50.803,96.1,83,832,3683.7560118,8789.9960236,470880.9006451,13240.430269
2020-05-07,50.585,97.4,82.55,826.5,3705.8925095,8803.1001515,503397.568381,13342.694163
2020-05-11,50.393,98,84.6,808,3839.1755871,8919.6718646,433470.3007887,13514.7575696
2020-05-12,50.235,98.75,84.9,817,3783.39879,8690.293308,442292.9272125,13203.857823
2020-05-13,50.1698,99,83,826,3732.86891806,8547.75994668,465073.40884354,12953.50120536
